data,valor
02/01/2026,0.055131
05/01/2026,0.055131
06/01/2026,0.055131
07/01/2026,0.055131
08/01/2026,0.055131
09/01/2026,0.055131
12/01/2026,0.055131
13/01/2026,0.055131
14/01/2026,0.055131
15/01/2026,0.055131
16/01/2026,0.055131
19/01/2026,0.055131
20/01/2026,0.055131
21/01/2026,0.055131
22/01/2026,0.055131
23/01/2026,0.055131
26/01/2026,0.055131
27/01/2026,0.055131
28/01/2026,0.055131
29/01/2026,0.055131
30/01/2026,0.055131
02/02/2026,0.055131
03/02/2026,0.055131
04/02/2026,0.055131
05/02/2026,0.055131
06/02/2026,0.055131
09/02/2026,0.055131
10/02/2026,0.055131
11/02/2026,0.055131
12/02/2026,0.055131
13/02/2026,0.055131
18/02/2026,0.055131
19/02/2026,0.055131
20/02/2026,0.055131
23/02/2026,0.055131
24/02/2026,0.055131
25/02/2026,0.055131
26/02/2026,0.055131
27/02/2026,0.055131
02/03/2026,0.055131
03/03/2026,0.055131
04/03/2026,0.055131
05/03/2026,0.055131
06/03/2026,0.055131
09/03/2026,0.055131
10/03/2026,0.055131
11/03/2026,0.055131
12/03/2026,0.055131
13/03/2026,0.055131
16/03/2026,0.055131
17/03/2026,0.055131
18/03/2026,0.055131
19/03/2026,0.054266
20/03/2026,0.054266
23/03/2026,0.054266
24/03/2026,0.054266
25/03/2026,0.054266
26/03/2026,0.054266
27/03/2026,0.054266
30/03/2026,0.054266
31/03/2026,0.054266
01/04/2026,0.054266
02/04/2026,0.054266
06/04/2026,0.054266
07/04/2026,0.054266
08/04/2026,0.054266
09/04/2026,0.054266
10/04/2026,0.054266
